Dateiname	Sprachtyp	Level	URL	Verfasser_in	Datum	Herausgeber_in	Überprüfung	Siegel	Original-Lizenz	Korpus	Textsorte	Herausgeber_in_anno	Kommentar_textsorte
m_35_easy	Leicht	A1	https://hurraki.de/wiki/Fremdenfeindlichkeit	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_36_easy	Leicht	A1	https://hurraki.de/wiki/Verh%C3%BCtungsmittel	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_37_easy	Leicht	A1	https://hurraki.de/wiki/Backflip	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_38_easy	Leicht	A1	https://hurraki.de/wiki/Dilettant	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_39_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=241&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=S&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=deb44fb30952e937918e2058d163e516	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_41_easy	Leicht	A1	https://hurraki.de/blog/abfall%c2%b7broschuere-in-leichter-sprache/	NA	2018	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_42_easy	Leicht	A1	https://hurraki.de/wiki/Eskalation	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_43_easy	Leicht	A1	https://hurraki.de/wiki/Aussitzen	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_45_easy	Leicht	A1	https://hurraki.de/wiki/Selbstverteidigung	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_48_easy	Leicht	A1	https://hurraki.de/wiki/F%C3%BCllstrich	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_50_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=134&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=H&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=b32368f39a7459848e7a52e4de0bc8d3	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_51_easy	Leicht	A1	https://hurraki.de/wiki/USB-Stick	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_52_easy	Leicht	A1	https://hurraki.de/wiki/Pille_(Fu%C3%9Fball)	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
